Date,Details,Debit,Credit,Balance (GBP)
16-01-19,WRT Coin Tranfer-In,,1000.00,1000.00
24-01-19,Deposit,,50.00,1050.00
25-01-19,Deposit,,50.00,1100.00
20-03-19,Deposit,,200.00,1300.00
16-04-19,Deposit,,50.00,1350.00
24-04-19,Deposit,,250.00,1600.00
29-04-19,Deposit,,250.00,1850.00
11-05-19,Deposit,,50.00,1900.00
15-06-19,Deposit,,50.00,1950.00
09-07-19,Deposit,,50.00,2000.00
17-07-19,Deposit,,200.00,2200.00
22-07-19,Deposit,,400.00,2600.00
28-07-19,Deposit,,100.00,2700.00
28-07-19,Deposit,,700.00,3400.00
06-08-19,Deposit,,50.00,3450.00
03-09-19,Deposit,,50.00,3500.00
09-12-19,WIN (22.5% APR),,472.90,3972.90
